visiting_team,home_team,month,home_wins
Philadelphia 76ers,Minnesota Timberwolves,Dec,no
Toronto Raptors,Utah Jazz,Dec,no
Los Angeles Lakers,Washington Wizards,Dec,yes
New Orleans Pelicans,Golden State Warriors,Dec,yes
Cleveland Cavaliers,New York Knicks,Dec,no
Indiana Pacers,Portland Trail Blazers,Dec,yes
Los Angeles Lakers,Boston Celtics,Dec,yes
Atlanta Hawks,Brooklyn Nets,Dec,no
New York Knicks,Charlotte Hornets,Dec,yes
Phoenix Suns,Dallas Mavericks,Dec,no
San Antonio Spurs,Memphis Grizzlies,Dec,no
Miami Heat,Milwaukee Bucks,Dec,yes
Houston Rockets,Minnesota Timberwolves,Dec,no
Oklahoma City Thunder,Philadelphia 76ers,Dec,no
Indiana Pacers,Sacramento Kings,Dec,yes
Cleveland Cavaliers,Toronto Raptors,Dec,no
Orlando Magic,Utah Jazz,Dec,no
Denver Nuggets,Washington Wizards,Dec,yes
Golden State Warriors,Chicago Bulls,Dec,no
Philadelphia 76ers,Detroit Pistons,Dec,no
Phoenix Suns,Houston Rockets,Dec,yes
New Orleans Pelicans,Los Angeles Clippers,Dec,yes
Orlando Magic,Sacramento Kings,Dec,no
Minnesota Timberwolves,San Antonio Spurs,Dec,yes
Denver Nuggets,Atlanta Hawks,Dec,yes
Washington Wizards,Boston Celtics,Dec,yes
Milwaukee Bucks,Dallas Mavericks,Dec,yes
Oklahoma City Thunder,Detroit Pistons,Dec,no
New Orleans Pelicans,Los Angeles Lakers,Dec,no
Miami Heat,Memphis Grizzlies,Dec,yes
Portland Trail Blazers,New York Knicks,Dec,no
Cleveland Cavaliers,Brooklyn Nets,Dec,no
Atlanta Hawks,Indiana Pacers,Dec,no
Phoenix Suns,Los Angeles Clippers,Dec,yes
Golden State Warriors,Minnesota Timberwolves,Dec,no
Utah Jazz,Sacramento Kings,Dec,yes
Denver Nuggets,Toronto Raptors,Dec,yes
Boston Celtics,Washington Wizards,Dec,yes
Toronto Raptors,Cleveland Cavaliers,Dec,yes
Portland Trail Blazers,Detroit Pistons,Dec,no
Sacramento Kings,Los Angeles Lakers,Dec,yes
Dallas Mavericks,Memphis Grizzlies,Dec,yes
New York Knicks,New Orleans Pelicans,Dec,yes
Milwaukee Bucks,Oklahoma City Thunder,Dec,yes
Miami Heat,Phoenix Suns,Dec,no
San Antonio Spurs,Utah Jazz,Dec,yes
Philadelphia 76ers,Atlanta Hawks,Dec,yes
Brooklyn Nets,Chicago Bulls,Dec,yes
Boston Celtics,Charlotte Hornets,Dec,yes
New Orleans Pelicans,Dallas Mavericks,Dec,yes
Miami Heat,Denver Nuggets,Dec,yes
Houston Rockets,Golden State Warriors,Dec,yes
Los Angeles Clippers,Indiana Pacers,Dec,no
Portland Trail Blazers,Minnesota Timberwolves,Dec,yes
Washington Wizards,Orlando Magic,Dec,no
New York Knicks,San Antonio Spurs,Dec,yes
Cleveland Cavaliers,Oklahoma City Thunder,Dec,yes
Houston Rockets,Sacramento Kings,Dec,no
Orlando Magic,Atlanta Hawks,Dec,yes
New York Knicks,Boston Celtics,Dec,no
Philadelphia 76ers,Brooklyn Nets,Dec,yes
Portland Trail Blazers,Chicago Bulls,Dec,yes
Charlotte Hornets,Memphis Grizzlies,Dec,yes
Oklahoma City Thunder,Minnesota Timberwolves,Dec,no
Cleveland Cavaliers,New Orleans Pelicans,Dec,yes
Detroit Pistons,Phoenix Suns,Dec,no
Los Angeles Lakers,San Antonio Spurs,Dec,no
Indiana Pacers,Toronto Raptors,Dec,yes
Miami Heat,Utah Jazz,Dec,no
Los Angeles Clippers,Washington Wizards,Dec,yes
Brooklyn Nets,Charlotte Hornets,Dec,no
Golden State Warriors,Dallas Mavericks,Dec,no
Denver Nuggets,Houston Rockets,Dec,yes
Portland Trail Blazers,Indiana Pacers,Dec,no
Los Angeles Clippers,Milwaukee Bucks,Dec,yes
Atlanta Hawks,Orlando Magic,Dec,yes
Memphis Grizzlies,Philadelphia 76ers,Dec,no
Detroit Pistons,Sacramento Kings,Dec,no
San Antonio Spurs,Denver Nuggets,Dec,no
Chicago Bulls,Miami Heat,Dec,no
Los Angeles Lakers,Minnesota Timberwolves,Dec,no
Golden State Warriors,New Orleans Pelicans,Dec,no
Toronto Raptors,New York Knicks,Dec,no
Phoenix Suns,Oklahoma City Thunder,Dec,yes
Utah Jazz,Washington Wizards,Dec,yes
Chicago Bulls,Atlanta Hawks,Dec,yes
Charlotte Hornets,Cleveland Cavaliers,Dec,yes
Los Angeles Lakers,Indiana Pacers,Dec,yes
Detroit Pistons,Los Angeles Clippers,Dec,yes
Boston Celtics,Philadelphia 76ers,Dec,no
Milwaukee Bucks,Phoenix Suns,Dec,no
San Antonio Spurs,Portland Trail Blazers,Dec,yes
Orlando Magic,Toronto Raptors,Dec,yes
Miami Heat,Brooklyn Nets,Dec,no
Golden State Warriors,Memphis Grizzlies,Dec,yes
Utah Jazz,New Orleans Pelicans,Dec,yes
Dallas Mavericks,New York Knicks,Dec,no
Oklahoma City Thunder,Sacramento Kings,Dec,no
Minnesota Timberwolves,Washington Wizards,Dec,yes
Orlando Magic,Boston Celtics,Dec,yes
Phoenix Suns,Charlotte Hornets,Dec,no
Atlanta Hawks,Cleveland Cavaliers,Dec,no
Houston Rockets,Denver Nuggets,Dec,no
Dallas Mavericks,Detroit Pistons,Dec,no
Indiana Pacers,Los Angeles Clippers,Dec,yes
Utah Jazz,Miami Heat,Dec,no
Milwaukee Bucks,Portland Trail Blazers,Dec,yes
Memphis Grizzlies,San Antonio Spurs,Dec,no
Brooklyn Nets,Toronto Raptors,Dec,yes
New York Knicks,Chicago Bulls,Dec,yes
Oklahoma City Thunder,Golden State Warriors,Dec,yes
New Orleans Pelicans,Houston Rockets,Dec,no
Milwaukee Bucks,Sacramento Kings,Dec,no
Minnesota Timberwolves,Boston Celtics,Dec,yes
Brooklyn Nets,Cleveland Cavaliers,Dec,yes
Los Angeles Clippers,Denver Nuggets,Dec,yes
Toronto Raptors,Detroit Pistons,Dec,no
Oklahoma City Thunder,Los Angeles Lakers,Dec,no
Chicago Bulls,Memphis Grizzlies,Dec,no
Washington Wizards,Miami Heat,Dec,no
Utah Jazz,Orlando Magic,Dec,no
Charlotte Hornets,Philadelphia 76ers,Dec,no
Portland Trail Blazers,San Antonio Spurs,Dec,no
Utah Jazz,Charlotte Hornets,Dec,yes
San Antonio Spurs,Dallas Mavericks,Dec,yes
Indiana Pacers,Denver Nuggets,Dec,yes
