visiting_team,home_team,month,home_wins
Los Angeles Clippers,Philadelphia 76ers,Mar,no
Portland Trail Blazers,Phoenix Suns,Mar,no
Dallas Mavericks,San Antonio Spurs,Mar,yes
Los Angeles Lakers,Toronto Raptors,Mar,yes
Charlotte Hornets,Washington Wizards,Mar,yes
New York Knicks,Chicago Bulls,Mar,yes
Atlanta Hawks,Charlotte Hornets,Mar,yes
Golden State Warriors,Milwaukee Bucks,Mar,no
Denver Nuggets,Portland Trail Blazers,Mar,yes
Oklahoma City Thunder,Utah Jazz,Mar,yes
Los Angeles Clippers,Boston Celtics,Mar,no
Los Angeles Lakers,Brooklyn Nets,Mar,yes
Philadelphia 76ers,Cleveland Cavaliers,Mar,yes
Dallas Mavericks,Indiana Pacers,Mar,yes
Detroit Pistons,Miami Heat,Mar,yes
Minnesota Timberwolves,New Orleans Pelicans,Mar,yes
Oklahoma City Thunder,Phoenix Suns,Mar,no
Memphis Grizzlies,San Antonio Spurs,Mar,yes
Houston Rockets,Washington Wizards,Mar,no
Milwaukee Bucks,Atlanta Hawks,Mar,yes
Boston Celtics,Charlotte Hornets,Mar,no
Sacramento Kings,Memphis Grizzlies,Mar,yes
Utah Jazz,Minnesota Timberwolves,Mar,no
Los Angeles Lakers,Philadelphia 76ers,Mar,no
Phoenix Suns,Portland Trail Blazers,Mar,yes
Houston Rockets,Toronto Raptors,Mar,yes
Indiana Pacers,Brooklyn Nets,Mar,yes
Atlanta Hawks,Detroit Pistons,Mar,yes
Golden State Warriors,Los Angeles Clippers,Mar,no
San Antonio Spurs,Miami Heat,Mar,no
Indiana Pacers,Boston Celtics,Apr,yes
Detroit Pistons,Charlotte Hornets,Apr,yes
Sacramento Kings,Houston Rockets,Apr,yes
New Orleans Pelicans,Los Angeles Lakers,Apr,no
Chicago Bulls,Milwaukee Bucks,Apr,yes
Toronto Raptors,Minnesota Timberwolves,Apr,no
Brooklyn Nets,New York Knicks,Apr,no
Dallas Mavericks,Oklahoma City Thunder,Apr,no
San Antonio Spurs,Orlando Magic,Apr,no
Los Angeles Clippers,Portland Trail Blazers,Apr,no
Denver Nuggets,Utah Jazz,Apr,yes
Philadelphia 76ers,Washington Wizards,Apr,yes
Miami Heat,Cleveland Cavaliers,Apr,yes
Houston Rockets,Dallas Mavericks,Apr,no
Phoenix Suns,Golden State Warriors,Apr,yes
Milwaukee Bucks,Boston Celtics,Apr,no
Toronto Raptors,Brooklyn Nets,Apr,yes
Detroit Pistons,Chicago Bulls,Apr,yes
Charlotte Hornets,Indiana Pacers,Apr,yes
Portland Trail Blazers,Los Angeles Lakers,Apr,no
Oklahoma City Thunder,Memphis Grizzlies,Apr,yes
Orlando Magic,Minnesota Timberwolves,Apr,no
New Orleans Pelicans,Sacramento Kings,Apr,no
Denver Nuggets,San Antonio Spurs,Apr,yes
New York Knicks,Washington Wizards,Apr,yes
Brooklyn Nets,Atlanta Hawks,Apr,yes
Philadelphia 76ers,Charlotte Hornets,Apr,yes
Golden State Warriors,Dallas Mavericks,Apr,no
Los Angeles Clippers,Denver Nuggets,Apr,no
Miami Heat,Detroit Pistons,Apr,yes
Washington Wizards,Memphis Grizzlies,Apr,no
Orlando Magic,Milwaukee Bucks,Apr,no
Utah Jazz,Phoenix Suns,Apr,yes
New Orleans Pelicans,Portland Trail Blazers,Apr,yes
Boston Celtics,Toronto Raptors,Apr,no
Chicago Bulls,Cleveland Cavaliers,Apr,yes
Miami Heat,Indiana Pacers,Apr,yes
Los Angeles Clippers,Los Angeles Lakers,Apr,no
Philadelphia 76ers,New York Knicks,Apr,yes
Houston Rockets,Oklahoma City Thunder,Apr,no
Utah Jazz,Sacramento Kings,Apr,no
Golden State Warriors,San Antonio Spurs,Apr,yes
Portland Trail Blazers,Brooklyn Nets,Apr,yes
Phoenix Suns,Atlanta Hawks,Apr,yes
Los Angeles Lakers,Los Angeles Clippers,Apr,yes
Charlotte Hornets,Miami Heat,Apr,yes
Golden State Warriors,New Orleans Pelicans,Apr,yes
San Antonio Spurs,Oklahoma City Thunder,Apr,no
Minnesota Timberwolves,Sacramento Kings,Apr,yes
Atlanta Hawks,Brooklyn Nets,Apr,no
Toronto Raptors,Charlotte Hornets,Apr,no
Phoenix Suns,Dallas Mavericks,Apr,yes
Los Angeles Lakers,Denver Nuggets,Apr,yes
Boston Celtics,Detroit Pistons,Apr,no
New Orleans Pelicans,Memphis Grizzlies,Apr,yes
Cleveland Cavaliers,Milwaukee Bucks,Apr,no
Indiana Pacers,New York Knicks,Apr,no
Chicago Bulls,Orlando Magic,Apr,yes
Washington Wizards,Philadelphia 76ers,Apr,no
Minnesota Timberwolves,Portland Trail Blazers,Apr,yes
Houston Rockets,San Antonio Spurs,Apr,yes
Sacramento Kings,Utah Jazz,Apr,yes
Portland Trail Blazers,Golden State Warriors,Apr,yes
Chicago Bulls,Miami Heat,Apr,no
Charlotte Hornets,Atlanta Hawks,Apr,yes
Washington Wizards,Brooklyn Nets,Apr,yes
Boston Celtics,Cleveland Cavaliers,Apr,no
Dallas Mavericks,Denver Nuggets,Apr,no
Indiana Pacers,Detroit Pistons,Apr,no
San Antonio Spurs,Houston Rockets,Apr,no
Minnesota Timberwolves,Los Angeles Lakers,Apr,yes
Phoenix Suns,New Orleans Pelicans,Apr,yes
Milwaukee Bucks,New York Knicks,Apr,no
Sacramento Kings,Oklahoma City Thunder,Apr,yes
Toronto Raptors,Orlando Magic,Apr,no
Memphis Grizzlies,Utah Jazz,Apr,no
Philadelphia 76ers,Chicago Bulls,Apr,yes
Minnesota Timberwolves,Golden State Warriors,Apr,yes
Memphis Grizzlies,Los Angeles Clippers,Apr,yes
Toronto Raptors,Miami Heat,Apr,no
New York Knicks,Orlando Magic,Apr,no
Utah Jazz,Portland Trail Blazers,Apr,no
Cleveland Cavaliers,Boston Celtics,Apr,yes
Sacramento Kings,Denver Nuggets,Apr,yes
Charlotte Hornets,Detroit Pistons,Apr,yes
New Orleans Pelicans,Houston Rockets,Apr,yes
Oklahoma City Thunder,Indiana Pacers,Apr,yes
Dallas Mavericks,Los Angeles Lakers,Apr,no
Brooklyn Nets,Milwaukee Bucks,Apr,yes
Phoenix Suns,San Antonio Spurs,Apr,yes
Atlanta Hawks,Washington Wizards,Apr,yes
New York Knicks,Atlanta Hawks,Apr,no
Chicago Bulls,Brooklyn Nets,Apr,no
Houston Rockets,Charlotte Hornets,Apr,no
Detroit Pistons,Cleveland Cavaliers,Apr,yes
Memphis Grizzlies,Golden State Warriors,Apr,yes
Denver Nuggets,Los Angeles Clippers,Apr,yes
Orlando Magic,Miami Heat,Apr,yes
New Orleans Pelicans,Minnesota Timberwolves,Apr,no
Portland Trail Blazers,Oklahoma City Thunder,Apr,yes
Milwaukee Bucks,Philadelphia 76ers,Apr,no
Los Angeles Lakers,Sacramento Kings,Apr,yes
Dallas Mavericks,Utah Jazz,Apr,yes
Toronto Raptors,Boston Celtics,Apr,yes
Washington Wizards,Indiana Pacers,Apr,yes
Los Angeles Clippers,Phoenix Suns,Apr,no
Orlando Magic,Brooklyn Nets,Apr,yes
Atlanta Hawks,Chicago Bulls,Apr,yes
Washington Wizards,Cleveland Cavaliers,Apr,yes
Portland Trail Blazers,Dallas Mavericks,Apr,yes
Denver Nuggets,Golden State Warriors,Apr,yes
Utah Jazz,Houston Rockets,Apr,yes
Sacramento Kings,Los Angeles Lakers,Apr,no
Indiana Pacers,Memphis Grizzlies,Apr,yes
Boston Celtics,Milwaukee Bucks,Apr,no
Oklahoma City Thunder,Minnesota Timberwolves,Apr,no
San Antonio Spurs,New Orleans Pelicans,Apr,yes
Detroit Pistons,New York Knicks,Apr,no
Miami Heat,Philadelphia 76ers,Apr,no
Charlotte Hornets,Toronto Raptors,Apr,yes
